IID	SEX	CP1	CP2	CP3
samp_131	0	1.25	0.0045	-0.5
samp_132	0	1.25	0.0045	-0.5
samp_133	0	1.25	0.0045	-0.5
samp_134	0	1.25	0.0045	-0.5
samp_135	0	1.25	0.0045	-0.5
samp_136	0	1.25	0.0045	-0.5
samp_137	0	1.25	0.0045	-0.5
samp_138	0	1.25	0.0045	-0.5
samp_139	0	1.25	0.0045	-0.5
samp_140	0	1.25	0.0045	-0.5
samp_141	0	1.25	0.0045	-0.5
samp_142	0	1.25	0.0045	-0.5
samp_143	0	1.25	0.0045	-0.5
samp_144	0	1.25	0.0045	-0.5
samp_145	0	1.25	0.0045	-0.5
samp_146	0	1.25	0.0045	-0.5
samp_147	0	1.25	0.0045	-0.5
samp_148	0	1.25	0.0045	-0.5
samp_149	0	1.25	0.0045	-0.5
samp_150	0	1.25	0.0045	-0.5
samp_151	0	1.25	0.0045	-0.5
samp_152	0	1.25	0.0045	-0.5
samp_153	0	1.25	0.0045	-0.5
samp_154	0	1.25	0.0045	-0.5
samp_155	0	1.25	0.0045	-0.5
samp_156	0	1.25	0.0045	-0.5
samp_157	0	1.25	0.0045	-0.5
samp_158	0	1.25	0.0045	-0.5
samp_159	0	1.25	0.0045	-0.5
samp_160	0	1.25	0.0045	-0.5
samp_161	0	1.25	0.0045	-0.5
samp_162	0	1.25	0.0045	-0.5
samp_163	0	1.25	0.0045	-0.5
samp_164	0	1.25	0.0045	-0.5
samp_165	0	1.25	0.0045	-0.5
samp_166	0	1.25	0.0045	-0.5
samp_167	0	1.25	0.0045	-0.5
samp_168	0	1.25	0.0045	-0.5
samp_169	0	1.25	0.0045	-0.5
samp_170	0	1.25	0.0045	-0.5
samp_171	0	1.25	0.0045	-0.5
samp_172	0	1.25	0.0045	-0.5
samp_173	0	1.25	0.0045	-0.5
samp_174	0	1.25	0.0045	-0.5
samp_175	0	1.25	0.0045	-0.5
samp_176	0	1.25	0.0045	-0.5
samp_177	0	1.25	0.0045	-0.5
samp_178	0	1.25	0.0045	-0.5
samp_179	0	1.25	0.0045	-0.5
samp_180	0	1.25	0.0045	-0.5
samp_181	0	1.25	0.0045	-0.5
samp_182	0	1.25	0.0045	-0.5
samp_183	0	1.25	0.0045	-0.5
samp_184	0	1.25	0.0045	-0.5
samp_185	0	1.25	0.0045	-0.5
samp_186	0	1.25	0.0045	-0.5
samp_187	0	1.25	0.0045	-0.5
samp_188	0	1.25	0.0045	-0.5
samp_189	0	1.25	0.0045	-0.5
samp_190	0	1.25	0.0045	-0.5
samp_191	0	1.25	0.0045	-0.5
samp_192	0	1.25	0.0045	-0.5
samp_193	0	1.25	0.0045	-0.5
samp_194	0	1.25	0.0045	-0.5
samp_195	0	1.25	0.0045	-0.5
samp_196	0	1.25	0.0045	-0.5
samp_197	0	1.25	0.0045	-0.5
samp_198	0	1.25	0.0045	-0.5
samp_199	0	1.25	0.0045	-0.5
