IID	SEX	CP1	CP2	CP3
samp_g0_73	0	25.215	75.84	45.0
samp_g0_74	0	25.215	75.84	45.0
samp_g0_75	0	25.215	75.84	45.0
samp_g0_76	0	25.215	75.84	45.0
samp_g0_77	0	25.215	75.84	45.0
samp_g0_78	0	25.215	75.84	45.0
samp_g0_79	0	25.215	75.84	45.0
samp_g0_8	0	25.215	75.84	45.0
samp_g0_80	0	25.215	75.84	45.0
samp_g0_81	0	25.215	75.84	45.0
samp_g0_82	0	25.215	75.84	45.0
samp_g0_83	0	25.215	75.84	45.0
samp_g0_84	0	25.215	75.84	45.0
samp_g0_85	0	25.215	75.84	45.0
samp_g0_86	0	25.215	75.84	45.0
samp_g0_87	0	25.215	75.84	45.0
samp_g0_88	0	25.215	75.84	45.0
samp_g0_89	0	25.215	75.84	45.0
samp_g0_9	0	25.215	75.84	45.0
samp_g0_90	0	25.215	75.84	45.0
samp_g0_91	0	25.215	75.84	45.0
samp_g0_92	0	25.215	75.84	45.0
samp_g0_93	0	25.215	75.84	45.0
samp_g0_94	0	25.215	75.84	45.0
samp_g0_95	0	25.215	75.84	45.0
samp_g0_96	0	25.215	75.84	45.0
samp_g0_97	0	25.215	75.84	45.0
samp_g0_98	0	25.215	75.84	45.0
samp_g0_99	0	25.215	75.84	45.0
samp_g1_0	0	25.215	75.84	45.0
samp_g1_10	0	25.215	75.84	45.0
samp_g1_1	0	25.215	75.84	45.0
samp_g1_11	0	25.215	75.84	45.0
samp_g1_12	0	25.215	75.84	45.0
samp_g1_13	0	25.215	75.84	45.0
samp_g1_14	0	25.215	75.84	45.0
samp_g1_15	0	25.215	75.84	45.0
samp_g1_16	0	25.215	75.84	45.0
samp_g1_17	0	25.215	75.84	45.0
samp_g1_18	0	25.215	75.84	45.0
samp_g1_19	0	25.215	75.84	45.0
samp_g1_20	0	25.215	75.84	45.0
samp_g1_2	0	25.215	75.84	45.0
samp_g1_21	0	25.215	75.84	45.0
samp_g1_22	0	25.215	75.84	45.0
samp_g1_23	0	25.215	75.84	45.0
samp_g1_24	0	25.215	75.84	45.0
samp_g1_25	0	25.215	75.84	45.0
samp_g1_26	0	25.215	75.84	45.0
samp_g1_27	0	25.215	75.84	45.0
samp_g1_28	0	25.215	75.84	45.0
samp_g1_29	0	25.215	75.84	45.0
samp_g1_30	0	25.215	75.84	45.0
samp_g1_3	0	25.215	75.84	45.0
samp_g1_31	0	25.215	75.84	45.0
samp_g1_32	0	25.215	75.84	45.0
samp_g1_33	0	25.215	75.84	45.0
samp_g1_34	0	25.215	75.84	45.0
samp_g1_35	0	25.215	75.84	45.0
samp_g1_36	0	25.215	75.84	45.0
samp_g1_37	0	25.215	75.84	45.0
samp_g1_38	0	25.215	75.84	45.0
samp_g1_39	0	25.215	75.84	45.0
samp_g1_40	0	25.215	75.84	45.0
samp_g1_4	0	25.215	75.84	45.0
samp_g1_41	0	25.215	75.84	45.0
samp_g1_42	0	25.215	75.84	45.0
samp_g1_43	0	25.215	75.84	45.0
samp_g1_44	0	25.215	75.84	45.0
samp_g1_45	0	25.215	75.84	45.0
samp_g1_46	0	25.215	75.84	45.0
samp_g1_47	0	25.215	75.84	45.0
samp_g1_48	0	25.215	75.84	45.0
samp_g1_49	0	25.215	75.84	45.0
samp_g1_50	0	25.215	75.84	45.0
samp_g1_5	0	25.215	75.84	45.0
samp_g1_51	0	25.215	75.84	45.0
samp_g1_52	0	25.215	75.84	45.0
samp_g1_53	0	25.215	75.84	45.0
samp_g1_54	0	25.215	75.84	45.0
samp_g1_55	0	25.215	75.84	45.0
samp_g1_56	0	25.215	75.84	45.0
samp_g1_57	0	25.215	75.84	45.0
samp_g1_58	0	25.215	75.84	45.0
samp_g1_59	0	25.215	75.84	45.0
samp_g1_60	0	25.215	75.84	45.0
samp_g1_6	0	25.215	75.84	45.0
samp_g1_61	0	25.215	75.84	45.0
samp_g1_62	0	25.215	75.84	45.0
samp_g1_63	0	25.215	75.84	45.0
samp_g1_64	0	25.215	75.84	45.0
samp_g1_65	0	25.215	75.84	45.0
samp_g1_66	0	25.215	75.84	45.0
samp_g1_67	0	25.215	75.84	45.0
samp_g1_68	0	25.215	75.84	45.0
samp_g1_69	0	25.215	75.84	45.0
samp_g1_70	0	25.215	75.84	45.0
samp_g1_7	0	25.215	75.84	45.0
samp_g1_71	0	25.215	75.84	45.0
samp_g1_72	0	25.215	75.84	45.0
samp_g1_73	0	25.215	75.84	45.0
samp_g1_74	0	25.215	75.84	45.0
samp_g1_75	0	25.215	75.84	45.0
samp_g1_76	0	25.215	75.84	45.0
samp_g1_77	0	25.215	75.84	45.0
samp_g1_78	0	25.215	75.84	45.0
samp_g1_79	0	25.215	75.84	45.0
samp_g1_80	0	25.215	75.84	45.0
samp_g1_8	0	25.215	75.84	45.0
samp_g1_81	0	25.215	75.84	45.0
samp_g1_82	0	25.215	75.84	45.0
samp_g1_83	0	25.215	75.84	45.0
samp_g1_84	0	25.215	75.84	45.0
samp_g1_85	0	25.215	75.84	45.0
samp_g1_86	0	25.215	75.84	45.0
samp_g1_87	0	25.215	75.84	45.0
samp_g1_88	0	25.215	75.84	45.0
samp_g1_89	0	25.215	75.84	45.0
samp_g1_90	0	25.215	75.84	45.0
samp_g1_9	0	25.215	75.84	45.0
samp_g1_91	0	25.215	75.84	45.0
samp_g1_92	0	25.215	75.84	45.0
samp_g1_93	0	25.215	75.84	45.0
samp_g1_94	0	25.215	75.84	45.0
samp_g1_95	0	25.215	75.84	45.0
samp_g1_96	0	25.215	75.84	45.0
samp_g1_97	0	25.215	75.84	45.0
samp_g1_98	0	25.215	75.84	45.0
samp_g1_99	0	25.215	75.84	45.0
